pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3,building_count,extent_m2,mean_height_m,builtup_density
21,399,Malkangiri,2021,1.4458657715076666e7,1.034591355914585e8,285295.51935920253,3.542697236390242e8,7.1555145456951506,0.04081256949241594
21,399,Malkangiri,2022,1.3560253511194032e7,7.941304332866983e7,308421.83076977066,3.2396967219829965e8,5.8563096378039035,0.04185655224818048
21,399,Malkangiri,2023,1.3074683100019664e7,7.175782740113537e7,298225.91712316265,3.2611479546819854e8,5.488303376242247,0.04009227205177404
22,400,Koriya,2016,1.9436810445938706e7,1.4224827516508716e8,288029.8818636824,4.1037124982110155e8,7.318498863830292,0.04736396727210312
22,400,Koriya,2017,2.0979612042138465e7,1.3751369548159972e8,316983.9176360024,4.2888332174126846e8,6.554634814285292,0.04891682884044344
22,400,Koriya,2018,2.2347036343323812e7,1.5121918667815986e8,311991.85538172734,4.470438632863512e8,6.766856434783428,0.04998846461965535
22,400,Koriya,2019,2.314790273694919e7,1.587724480150792e8,325608.9720341411,4.6069203868861824e8,6.8590424721995715,0.050245936098311565
22,400,Koriya,2020,2.2773577564022988e7,1.5656062854648158e8,334387.86439669365,4.640123083295114e8,6.874661133339513,0.04907968421357192
22,400,Koriya,2021,2.306033646322917e7,1.592079677963694e8,340389.222305418,4.791782471974226e8,6.903974191800466,0.048124756493230905
22,400,Koriya,2022,2.1525329146730453e7,1.2080618626776473e8,396265.0991117922,4.675947081555416e8,5.612280557675669,0.04603415900842536
22,400,Koriya,2023,2.17206558623653e7,1.2020187647849472e8,420241.6200629865,4.7842489146061593e8,5.53398926994487,0.045400346533084494
22,401,Surguja,2016,8.24762959472018e7,5.733464346515315e8,1.0449195608835809e6,1.604538598857429e9,6.9516511146252995,0.05140187715392581
22,401,Surguja,2017,8.749797805780914e7,5.3499950398746884e8,1.2087288716891622e6,1.6828629100516655e9,6.114421337073634,0.05199352694458212
22,401,Surguja,2018,9.374898529502831e7,6.273885234841127e8,1.134183099028942e6,1.755761363131181e9,6.692216683836303,0.05339506111914817
22,401,Surguja,2019,9.821166528200316e7,6.598224218865219e8,1.206424551126478e6,1.8173962799210088e9,6.718371183218613,0.05403976357114136
22,401,Surguja,2020,9.724847668206209e7,6.548969655881704e8,1.2603323192087635e6,1.832242608234271e9,6.734264514283842,0.05307620085081433
22,401,Surguja,2021,1.0170696726689701e8,7.031160359365516e8,1.254071149083479e6,1.9119742055761333e9,6.913155065291163,0.05319473817705075
22,401,Surguja,2022,9.624231106544198e7,5.430049638034523e8,1.512013603092853e6,1.8566617754960017e9,5.64206072975767,0.05183621073888438
22,401,Surguja,2023,9.591042975307344e7,5.3232071590089756e8,1.585298862919634e6,1.9011807901933208e9,5.550185910660455,0.05044782182094362
22,402,Jashpur,2016,2.8231409613262083e7,1.9971427601204142e8,401431.03307629505,5.452361137403607e8,7.0741871818622535,0.05177831934057429
22,402,Jashpur,2017,2.96799501321126e7,1.8569507711908042e8,480106.61113460467,5.794011738317901e8,6.2565831914308125,0.05122521574443546
22,402,Jashpur,2018,3.109407887328918e7,2.1896116359913057e8,438497.8671087566,5.894127276188229e8,7.041892589628223,0.0527543390501705
22,402,Jashpur,2019,3.305663688255046e7,2.3264577221488822e8,461736.4807573056,6.109881062741573e8,7.037793137924883,0.054103568536107594
22,402,Jashpur,2020,3.1850515686038956e7,2.1877156842415673e8,484392.8225492023,6.228421682755708e8,6.868697844036821,0.05113737846976827
22,402,Jashpur,2021,3.2862631760625463e7,2.330707924621214e8,483690.32194771135,6.462826952190102e8,7.092274111210302,0.05084869516657734
22,402,Jashpur,2022,3.07993197927514e7,1.8388870359369084e8,545147.6392506799,6.07236784354435e8,5.97054431172759,0.05072044478579266
22,402,Jashpur,2023,3.0234104663062945e7,1.668567709946083e8,558508.7108841108,6.087467547589729e8,5.518826267690258,0.049666145119794246
22,403,Raigarh,2016,4.189092323085588e7,3.570734354350546e8,626697.5060886848,4.915722897397517e8,8.523885555523938,0.085218235659772
22,403,Raigarh,2017,4.3200546053925075e7,3.2286403517485905e8,735527.9243320093,5.0839259135286474e8,7.473610050480475,0.08497477498435943
22,403,Raigarh,2018,4.574629015039192e7,3.731455553092091e8,688813.9176790552,5.3499380508874094e8,8.156848436943958,0.08550807451462705
22,403,Raigarh,2019,4.831294807299266e7,3.9749874071261585e8,719217.3534073717,5.490654573015933e8,8.227581974754733,0.08799123570881476
22,403,Raigarh,2020,4.7325794775171116e7,3.861457259461352e8,740120.2145263024,5.617840899013788e8,8.15930778934793,0.08424196346229593
22,403,Raigarh,2021,4.8098625108932026e7,4.005071238032666e8,750563.2062315199,5.852368129921107e8,8.326789443486431,0.0821866021431916
22,403,Raigarh,2022,4.683620075462357e7,3.3922269188959396e8,841900.6875428173,5.677911440709176e8,7.242745705758523,0.08248843125452779
22,403,Raigarh,2023,4.805086497270749e7,3.407647435740811e8,877921.2031080864,5.869130065346509e8,7.091750455847835,0.08187050625512181
22,404,Korba,2016,3.1962412259050973e7,2.6325073455471647e8,503533.8443254919,4.749742069029142e8,8.236259904950394,0.0672929430578199
22,404,Korba,2017,3.453738463589369e7,2.4688147597002688e8,583570.5232079399,4.929228789186236e8,7.148238888750431,0.07006650758768178
22,404,Korba,2018,3.680739727666187e7,2.770523419280062e8,566754.4711615356,5.1739527302907854e8,7.52708320682251,0.07113980199543345
22,404,Korba,2019,3.8277737337256275e7,2.935490035731839e8,590457.5257598603,5.3100689722753525e8,7.668922564225561,0.07208519802117438
22,404,Korba,2020,3.754436534440002e7,2.8665074690323913e8,611420.5868726347,5.3675055988339084e8,7.634987148504161,0.069947510352959
22,404,Korba,2021,3.7873868291354544e7,2.8782324501538676e8,606072.2534025579,5.496170658230928e8,7.599520672175123,0.0689095565739677
22,404,Korba,2022,3.6076922069462895e7,2.2959517522566244e8,685517.7288094593,5.395359015803883e8,6.364045546446491,0.06686658286091385
22,404,Korba,2023,3.685495988586356e7,2.2843526900613523e8,723057.8228617597,5.599587334970818e8,6.198223243589964,0.06581727845495891
22,405,Janjgir - Champa,2016,3.694917523644163e7,2.987582062019281e8,627964.4462852697,4.4840854479178154e8,8.085652908086395,0.08240069388864785
22,405,Janjgir - Champa,2017,3.891845084442894e7,2.7057089382059395e8,751076.5171828885,4.626731683771409e8,6.952252413698665,0.08411650708196065
22,405,Janjgir - Champa,2018,4.1538217169847354e7,3.234991488508493e8,718587.7946528052,4.938408462308824e8,7.787988288666316,0.08411255870565888
22,405,Janjgir - Champa,2019,4.314623579880978e7,3.40242957634313e8,756420.6364769664,5.014457129892616e8,7.885808607287563,0.08604368265829357
22,405,Janjgir - Champa,2020,4.2741298796980575e7,3.3448130269022286e8,767738.6699980064,5.162503971672603e8,7.825716861787364,0.08279179838215756
22,405,Janjgir - Champa,2021,4.332204979969962e7,3.3342194554914886e8,796472.5218191738,5.372694689965686e8,7.696356638033796,0.08063374581959785
22,405,Janjgir - Champa,2022,4.229888379899277e7,2.7812146420105696e8,868058.4358610077,5.2571398344961315e8,6.575149016288691,0.08045987957451181
22,405,Janjgir - Champa,2023,4.433047677500368e7,2.9022177026528627e8,902880.3377401812,5.493502743244908e8,6.5467775530204,0.08069619484492786
22,406,Bilaspur,2016,6.286943394258185e7,5.045306409982396e8,1.0362289714557736e6,9.013708192498926e8,8.025054614918648,0.06974869010614394
22,406,Bilaspur,2017,6.887354077494234e7,5.239564795357336e8,1.1209369299878872e6,9.629218593164176e8,7.607514782024393,0.07152557614990272
22,406,Bilaspur,2018,7.149740211991876e7,5.559589518130363e8,1.152767435573694e6,1.0187165928581532e9,7.775932206327667,0.07018380050070915
22,406,Bilaspur,2019,7.383011386041161e7,5.735093863536259e8,1.216352453499632e6,1.0377412151994448e9,7.7679602043949565,0.07114501455569741
22,406,Bilaspur,2020,7.250456263717318e7,5.668907775944403e8,1.2299219111728675e6,1.0544707056349645e9,7.818691086122003,0.06875920046874467
22,406,Bilaspur,2021,7.367918593460728e7,5.764284797463975e8,1.2495978257594735e6,1.093170658811987e9,7.823491430239157,0.06739952754922895
22,406,Bilaspur,2022,7.023937021412914e7,4.346422544843296e8,1.4288178822942674e6,1.0280511874155908e9,6.188014686909853,0.06832283360394077
22,406,Bilaspur,2023,7.200789324920301e7,4.3955928245806026e8,1.4946202282231702e6,1.0792339847282324e9,6.104320826841096,0.0667212988732334
22,407,Kabeerdham,2016,1.8661611389075097e7,1.3819995851168814e8,316280.20311106433,3.171512778564989e8,7.405574772208221,0.05884135645046619
22,407,Kabeerdham,2017,2.083137211102841e7,1.430395212618697e8,379370.98364306276,3.663815052076402e8,6.8665434278399085,0.05685705150215648
22,407,Kabeerdham,2018,2.066535686958025e7,1.495672480242907e8,366267.6695561058,3.661844421760685e8,7.237583602751918,0.0564342841732308
22,407,Kabeerdham,2019,2.1816647254498333e7,1.6417359410240826e8,376857.87981325126,3.8215878636176085e8,7.525152338362056,0.05708791223197512
22,407,Kabeerdham,2020,2.1570766820776917e7,1.599329069719949e8,380582.270337498,3.8542980889611673e8,7.414335721155164,0.05596548664089132
22,407,Kabeerdham,2021,2.2157911173052542e7,1.6662665457297277e8,386061.1732741161,4.107798505616995e8,7.519962205445459,0.053941085821891846
22,407,Kabeerdham,2022,2.082845802271908e7,1.3019939768256634e8,419446.9519249806,3.6320243556311655e8,6.251033923901068,0.05734669149568397
22,407,Kabeerdham,2023,2.1632269336471945e7,1.2569045267388482e8,447852.53391025885,3.8208870066959256e8,5.810322103468408,0.05661583108467329
22,408,Rajnandgaon,2016,4.7221119950315356e7,3.530528398332502e8,671583.3759408208,5.205764713221508e8,7.476587599038774,0.09070928586223653
22,408,Rajnandgaon,2017,4.973286907141209e7,3.293990312975571e8,824161.6918883605,5.975562790654873e8,6.623366748147361,0.0832270880814588
22,408,Rajnandgaon,2018,4.925061620332921e7,3.57153833300256e8,792752.6236910694,5.934853715197035e8,7.2517637510515724,0.0829853920025291
22,408,Rajnandgaon,2019,5.159257534488491e7,3.8526095943850017e8,810804.4796580669,6.236620798482345e8,7.467372133744365,0.08272520810859582
